Name,Email,Wallet Address,Rating,Scheduled Streams,Duration Extension,2FA Security,Webhook Support,Emergency Stop,Stream Templates,Recipient Whitelist,Multiple Assets,Admin Approval,Stream Splitting
Abhishek Gupta,abhishek@example.com,GBEA2LH5VILCEKQC6M77GXGJ3CPJOOMGEKNMMNXQXMJA42BMPX4YSN72,5,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Sarvesh Choudhary,sarvesh1@example.com,GBAVDHPWSB6XGO2LVVOPZF5RCQVGDIZI3MTA7GIOAFQTBPOXGZX4X5F3,5,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Sarvesh,sarvesh2@example.com,GCHVBDWNJFIBIIFTQJ2NUK7K4AX44DLVEK6I43ZNBM4WSYEF3B46T64Z,5,Yes,Yes,Yes,No,No,Yes,No,No,No,No
Sarvesh,sarvesh3@example.com,GAU54LEOCNINRYXYEBYVIXXU7TU7DOO5DTIEW37YAK46EURIHI5TL4PU,5,Yes,Yes,Yes,No,No,No,Yes,No,No,No
Sarvesh Choudhary,sarvesh4@example.com,GDT65QEIVNTCYLHPJPHYUATGFOKLJ3H6IHH44SK2PIAD4S4IXVZG6RYQ,5,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Sarvesh Choudhary,sarvesh5@example.com,GA3UY2X6RREPMERVTE7FABQV6DC5JMH3BOARL27HN2ZBRKJ43EVIH2K3,5,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
Anubhav Gupta,anubhav@example.com,GACYDC2B373FDML5FAY3DXRXX6XQ2JZYYDONUOELIW2R72GKTEZJT5CK,5,No,Yes,Yes,Yes,No,No,No,No,No,Yes
Saurabh Kumar,saurabh@example.com,GDPQMIGKM2YC4LDMMUTWU35CMRSJKWVYH2QW6EU3XIE7AWPUVKLRMJGP,4,Yes,Yes,No,Yes,Yes,No,No,No,No,No
Prithwiraj Das,prithwiraj@example.com,GDNCZO2EUNABT3D6PV7GIBUWCPLJBT5EG4PXN7HSDR5LGZVHI5HSZ2MI,4,Yes,No,Yes,No,Yes,Yes,No,No,No,No
Prashant Vaibhav,prashant@example.com,GAUGBIDSUADNR2R57GJ3NVA2N22JQYLKLIPVU2ODINAHRXYVJ3SKEE7W,4,Yes,Yes,Yes,No,No,No,Yes,No,No,No
Dikansha Bindal,dikansha@example.com,GDTJVOWCKRN6TGFZQRHO6ANQL5PRNYRUWY7GBYM2PBPF7QPG2ULXUIIJ,4,Yes,Yes,No,Yes,No,Yes,No,No,No,No
Ranit Shaw,ranit@example.com,GAIZ3QCDTBAVTQU6MGGT3BLODLFBS3QIKHGMFHQM2GDHBRDPA7RVMSCR,5,No,Yes,Yes,Yes,No,No,No,Yes,No,No
Amit Jaswal,amit1@example.com,GCVMIC6UTZPEYNWFGZLAI77HQCWES7WI5BXKOJ2DAQ6XPRL67HVI35WG,5,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
Amit Kumar,amit2@example.com,GAX6PD7BHLFWLJOJNGPZPJO56SSU3WJ4FM7A2XVPJIYQASXDW2MI3PM6,4,Yes,No,Yes,Yes,No,No,Yes,No,No,No
Abhishek Kumar,abhishek2@example.com,GCO527YCC6DNDK3K6FN654WXAINDGNB35FUFAN3LURDENIIBD7ZFAJN6,4,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Parvin Kumar,parvin@example.com,GCNZUV7B6C3MBUTLQVELF5RYPCQNPPOQW65ZW3EMTKDYWINU2W757K4J,4,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No
Shashank Rai,shashank@example.com,GD5CCTX45O4DWDT3OQ6IYDH2SK55AGNNSPGWSQMPO5S2WFAIIVTUSWCU,5,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
Rishi Singh,rishi@example.com,GDS3ZMGJZ34C652XZ64DSGFNTKJ555V5PYQ5R6YWCEGPROTDAFTHMUMR,4,No,Yes,Yes,No,Yes,No,No,Yes,No,No
Shivam Mehta,shivam@example.com,GCFTNFBWLFGCNPYLD47Z3CFJTB2LDQOPADRNORQJ7K57ECNTNOIDF7A6,5,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No
Rohan Raj,rohan1@example.com,GB2CC3W7PB5KZPSWMF3JYU7MEIM4MS4IZ6VIXOPDVBZ6IY5WXORTNUBS,3,Yes,No,No,Yes,Yes,No,No,No,Yes,No
Rishab Ray,rishab@example.com,GDRZB4ZLVRZJWUE4T5BGWD3FR7JBY2A3KL4VYDUHM6GHCB6EP66TEBTS,5,Yes,Yes,Yes,No,No,No,Yes,Yes,No
Purnendu Maity,purnendu@example.com,GAJUI27A5TS6NC65IJHIRR2XUOJBPAAAIAPLNIVYIVUPAA2A5ECW4VR7,4,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Suman Maity,suman@example.com,GAU5O3L4RSFWOZ5MCIT74PMOYJMRGMO6XNPERNTKHS2SKZISB3DW4ZUL,5,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Sovan Maity,sovan@example.com,GAUD34Y6KCQ5UW3VGWSDDYPXTBUXFG5SZIWX2XYAZS62F42UQW4JZ4G7,,No,Yes,Yes,No,No,Yes,No,Yes,No,No
Rupanjana Saha,rupanjana@example.com,GBPTGTNXY4U5LYUYLF3P2Y4T3SITISC7YY54WVCF2CVKDLAKJ6MXODGP,4,Yes,No,Yes,Yes,No,No,No,Yes,No,No
Ashish Jha,ashish@example.com,GDWENF7CH2XPC5IHDBI7MRKN3P75534MVG23KFPWUHYTPA5TAZ45LPLF,4,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
Subhranil Baul,subhranil@example.com,GBTOPBOVCF5652TCZMN4YDMSBTMYKX7HAA7LBMBBFFDBARZJIY5DHGIN,5,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No
Yatesh Kumar,yatesh@example.com,GBAE2LX3TVUBUMXBG3DCUIZIN24FHEZOPN23VHCE57A5QGZFS56CUCDG,5,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Abhay Kumar,abhay@example.com,GA57SRIXFTI6VDKYA5FALVMKDONROUKWC4F3NOJJUP2A2VRD2B6HNOWU,4,Yes,Yes,No,No,Yes,No,Yes,No,No,No
BS Yadav,bs@example.com,GDAN5UVSHKNWO72YRIKNRPBPIXMYR2XAY2V5FPZW7DI6RBJAAO6EVA3V,5,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
Aman Raj,aman@example.com,GBXKLCZF2F73I6H7QDVOXGVA3W35KQ6KHYU4B6VHDWSUW7P23WQOOCLR,4,Yes,No,Yes,No,Yes,Yes,No,No,No,No
Ayush Raj,ayush@example.com,GC72SRPUSTGKJREPPZV3ALLQ66AIE5UUKB4KTHJCUZRNGN6BBR4UEIJ7,5,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No
Rohan Kumar,rohan2@example.com,,4,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes
User33,user33@example.com,GCXYZ123ABC456DEF789GHI123JKL456MNO789PQR123STU456VWX789Y,5,Yes,Yes,Yes,Yes,No,No,No,No,No,No
User34,user34@example.com,GABC789DEF123GHI456JKL789MNO123PQR456STU789VWX123YZA456BCD,4,Yes,Yes,No,No,Yes,No,No,Yes,No,No
User35,user35@example.com,GBCD456EFG789HIJ123KLM456NOP789QRS123TUV456WXY789ZAB123CDE,5,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No
User36,user36@example.com,GCDE789FGH123IJK456LMN789OPQ123RST456UVW789XYZ123ABC456DEF,4,No,Yes,Yes,No,Yes,No,Yes,No,No,No
